node_id,giant_after,giant_fraction_remaining,component_count_after,nodes_outside_giant,fragmentation_score,name,degree,betweenness,closeness,pagerank,null_betweenness_mean,null_betweenness_sd,betweenness_z,betweenness_rank,fragmentation_rank
Iron_Fist_(character),276,1.0,1,0,0.0,Iron Fist (character),26,0.020884731490128542,0.44660194174757284,0.008671767982489963,0.017522136522967965,0.004298816589454865,0.7822141040883509,18,126
Iron_Lad,276,1.0,1,0,0.0,Iron Lad,6,0.00037189362230997936,0.372972972972973,0.0009566772988292829,0.0011230330781819846,0.001258879813577588,-0.5966728894773168,183,127
Iron_Man_(Ultimate_Marvel_character),276,1.0,1,0,0.0,Iron Man (Ultimate Marvel character),5,0.0008076961121711706,0.4076809453471196,0.0010305764070510624,0.0008161792790220363,0.0011629383649193028,-0.007294597122913169,157,128
Iron_Man_2020,276,1.0,1,0,0.0,Iron Man 2020,6,0.0007570557766431165,0.39598278335724535,0.0019430779469221393,0.0012845961816822088,0.0016476813157856455,-0.32017138264844075,159,129
Isaiah_Bradley,276,1.0,1,0,0.0,Isaiah Bradley,7,0.0010184573261604523,0.3971223021582734,0.0005300214031699635,0.001514449391062333,0.0019525441214040715,-0.2540234863144673,152,130
Jack_Frost_(Marvel_Comics),276,1.0,1,0,0.0,Jack Frost (Marvel Comics),7,0.001457771867295519,0.3437110834371108,0.0005868086375784788,0.0016617774573696425,0.001772189503522921,-0.11511499739084469,139,131
Jack_Monroe_(character),276,1.0,1,0,0.0,Jack Monroe (character),4,0.00046939056401231805,0.32857142857142857,0.0017612098212628764,0.00045558036548467386,0.0008233811767949637,0.016772545835211847,177,132
Janice_Lincoln,276,1.0,1,0,0.0,Janice Lincoln,5,0.00016128298052327412,0.3954154727793696,0.0007880267639088553,0.0008131143604314553,0.0012250675553720368,-0.5320779062753226,207,133
Jean_Grey,276,1.0,1,0,0.0,Jean Grey,24,0.010814104873744596,0.42923794712286156,0.012990947045335429,0.015440567143258517,0.004565521899403913,-1.0133479526443547,38,134
Jean_Grey_(X-Men_film_series),276,1.0,1,0,0.0,Jean Grey (X-Men film series),5,0.0002156564360508849,0.34074074074074073,0.0014502465718009218,0.0008216108304065014,0.0012649259635576454,-0.47904336839711165,198,135
Jeffrey_Mace,276,1.0,1,0,0.0,Jeffrey Mace,8,0.001507491701118767,0.32779097387173395,0.002732164560108058,0.0020514357720704712,0.0018960907885050696,-0.28687659591477943,136,136
Jericho_Drumm,276,1.0,1,0,0.0,Jericho Drumm,15,0.003033405556145122,0.41317365269461076,0.007826301967388422,0.006638587869793615,0.0030992937531939694,-1.1632270448495505,99,137
Jessica_Jones,276,1.0,1,0,0.0,Jessica Jones,18,0.004279117151630502,0.4458804523424879,0.0042500846762471975,0.009476995150923578,0.003540584011082717,-1.4680849213075315,80,138
John_Jameson_(character),276,1.0,1,0,0.0,John Jameson (character),14,0.002379372933931516,0.4265842349304482,0.0032399162911442713,0.00551536531796848,0.0030742833055296148,-1.020072671375587,111,139
Jubilee_(character),276,1.0,1,0,0.0,Jubilee (character),15,0.002440850863670513,0.4029197080291971,0.004938926598403551,0.006563541521110414,0.002937102626450298,-1.4036590415032493,110,140
